2023-02-10 00:20:48 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
2023-02-10 00:20:48 [main] INFO  c.m.demo.config.server.ConfigServer - Starting ConfigServer using Java 11.0.17 on Franks-Air with PID 68690 (/Users/frankyiu/Documents/projects/javaworkspace/microservices-demo/config-server/target/classes started by frankyiu in /Users/frankyiu/Documents/projects/javaworkspace/microservices-demo)
2023-02-10 00:20:48 [main] INFO  c.m.demo.config.server.ConfigServer - No active profile set, falling back to 1 default profile: "default"
2023-02-10 00:20:50 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=cef52e5f-2b72-3743-bd00-69694d83a014
2023-02-10 00:20:51 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8888 (http)
2023-02-10 00:20:51 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8888"]
2023-02-10 00:20:51 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2023-02-10 00:20:51 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.71]
2023-02-10 00:20:51 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-02-10 00:20:51 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 3102 ms
2023-02-10 00:20:57 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8888"]
2023-02-10 00:20:57 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8888 (http) with context path ''
2023-02-10 00:20:57 [main] INFO  c.m.demo.config.server.ConfigServer - Started ConfigServer in 11.212 seconds (JVM running for 12.258)
2023-02-10 00:22:37 [http-nio-8888-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-02-10 00:22:37 [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-02-10 00:22:37 [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 19 ms
2023-02-10 00:22:38 [http-nio-8888-exec-1] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/var/folders/g1/1w0smqzx7019hwzbncdy_k7r0000gn/T/config-repo-4382582906858567644/twitter_to_kafka-dev.yml]' via location 'file:/var/folders/g1/1w0smqzx7019hwzbncdy_k7r0000gn/T/config-repo-4382582906858567644/'
2023-02-10 00:22:41 [http-nio-8888-exec-2] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/var/folders/g1/1w0smqzx7019hwzbncdy_k7r0000gn/T/config-repo-4382582906858567644/twitter_to_kafka-dev.yml]' via location 'file:/var/folders/g1/1w0smqzx7019hwzbncdy_k7r0000gn/T/config-repo-4382582906858567644/'
2023-02-10 00:23:18 [http-nio-8888-exec-3] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/var/folders/g1/1w0smqzx7019hwzbncdy_k7r0000gn/T/config-repo-4382582906858567644/twitter_to_kafka-dev.yml]' via location 'file:/var/folders/g1/1w0smqzx7019hwzbncdy_k7r0000gn/T/config-repo-4382582906858567644/'
